ID,ACTIVIDAD_ID,DUENO_ID,descripcion,duracion,ESTADO_ID,observaciones,createdAt,createdBy,modifiedAt,modifiedBy
c67abb8c-9058-409b-b832-b29ffad87e9f,52ce04eb-7cfe-4115-88d1-58760775d758,26e207aa-68c8-43f4-afcc-73d4c3a384a2,"Contemplar la ejecución de pruebas de estrés y volumen dentro de las pruebas UAT a retomar, de acuerdo con las recomendaciones previas.",4 semanas,f40b6bea-f837-4a5b-b055-26e112f42796,Pendiente de ejecucion por parte de las gerencias del proyecto.,,,,
29165ec3-a9ce-49d9-b43a-68146315993f,52ce04eb-7cfe-4115-88d1-58760775d759,dc2b8e65-9d4f-4f8f-a1d0-4594573fd63d,"Entregar al Cliente un informe de referencia en donde brinde claridad de la situación de performance presentada frente a los cálculos considerando el Sizing y la volumetría inicial versus la volumetría actual y el modelamiento en optimización, con el propósito de brindarles claridad en el comportamiento de la implementación, mejoras realizadas (ajuste de transacciones, cambios de segmentación de registros y cardinalidad) y recomendaciones para futuros crecimientos en dimensiones, datos y modelos.",4 semanas,f40b6bea-f837-4a5b-b055-26e112f42797,Pendiente de ejecucion por parte de las gerencias del proyecto.,,,,
d539cbea-d420-43e1-83da-8b6ba74afef9,52ce04eb-7cfe-4115-88d1-58760775d760,dc2b8e65-9d4f-4f8f-a1d0-4594573fd63d,Revisar la cardinalidad con sus arquitectos de PA PM validando los picos de consumo con los servicios que disponibiliza SAP.,3 semanas,f40b6bea-f837-4a5b-b055-26e112f42798,Pendiente de ejecucion por parte de las gerencias del proyecto.,,,,
51448077-18d2-495e-bda5-f805554044a5,52ce04eb-7cfe-4115-88d1-58760775d761,26e207aa-68c8-43f4-afcc-73d4c3a384a2,"Contar con el cronograma vigente del proyecto, pues no resulta una buena práctica de gestión estar en un proyecto sin trazabilidad.",4 semanas,f40b6bea-f837-4a5b-b055-26e112f42799,Pendiente de ejecucion por parte de las gerencias del proyecto.,,,,
9269028e-0663-4ef4-8473-e7745628fd4b,52ce04eb-7cfe-4115-88d1-58760775d762,26e207aa-68c8-43f4-afcc-73d4c3a384a2,"Los PM de proyecto y el líder técnico se comprometen al envío de los QGates en la siguiente sesión de seguimiento, frente a la insistencia en la importancia de este insumo de gestión de proyecto.",2 semanas,d2c29de3-b1f2-4d56-9408-7c6fb7ef0f88,Pendiente de ejecucion por parte de las gerencias del proyecto.,,,,
5c4029ce-5746-47ae-a0de-71cfffeda9d2,52ce04eb-7cfe-4115-88d1-58760775d763,314ed9ed-58e2-4650-826d-a32352e57b0b,Se agendó próxima sesión de cadencia del PCCP el 10 de julio de 2025.,1 semana,2d5a11b2-9473-4d67-802e-da2a1c2edba9,Agendamiento realizado,,,,
b9eeba06-4ff7-496c-9ad8-92d6e827030d,94ee11c5-de8f-4c62-b451-f1ca1cdb39fc,314ed9ed-58e2-4650-826d-a32352e57b0b,"Considerando que no se visualiza ningún avance de retoma de proyecto, ni intenciones del Cliente frente a la continuidad del mismo, la Customer Office acordó con los asistentes por parte de SAP en cancelar el PCCP. Se revisará el proceso para anunciar este cierre.",1 semana,d2c29de3-b1f2-4d56-9408-7c6fb7ef0f88,En proceso de comunicación.,,,,
b22fd366-902a-4c98-bc98-5acd4b35c69f,94ee11c5-de8f-4c62-b451-f1ca1cdb39fc,d2b2423f-13ef-4de4-a6c9-36c683b04185,"Horacio Seeber acordará con Catalina Manrique durante su visita a Bogotá del 15 de julio 2025, agendar un espacio de acercamiento y retoma de relacionamiento con el Cliente y establecer los pasos a seguir a nivel comercial frente a esta situación.",4 semanas,f40b6bea-f837-4a5b-b055-26e112f42796,En espera de la visita de Horacio.,,,,
6838444b-c24a-4704-88c1-fce59993d375,cae78414-12be-4096-b232-acda68f09870,930e41cc-751e-4a6e-921c-4dad9798b4da,Se compartió al Cliente (Romeo Najm) la WebSurvey de Junio 2025.,4 semanas,f40b6bea-f837-4a5b-b055-26e112f42797,Aún pendiente de respuesta.,,,,
54c7049d-a19f-4f2a-9e79-09e7f9c48029,cae78414-12be-4096-b232-acda68f09871,958f9b41-665e-4c79-9f61-5e6065e0229d,"Se enviará un correo al equipo interno SAP de la cuenta alertando sobre la posibilidad de retiro del proyecto del programa PCC ante la nula participación, tracción y asistencia evidenciada tanto por el Cliente como por el Partner, durante las últimas 3 semanas (inicio de junio 2025).",4 semanas,f40b6bea-f837-4a5b-b055-26e112f42798,En proceso de comunicación.,,,,
