ID,pilar_ID,fecha,link,cliente_ID,partner_ID,representanteLegal_ID,representanteSAP_ID,pais,firmaDigital,createdAt,createdBy,modifiedAt,modifiedBy
43ffdad6-dd1c-4042-b8be-16077e9e3f47,18302ef1-7e02-45cc-9831-f4f825b82c59,2025-01-31,https://sico.docs/cartas/PCCP-0001.pdf,58cf55c3-e7fd-4046-ab62-e14a223e6d69,a81f5ea8-ac4e-4afb-a7eb-98482ee78b7f,ebeda3a6-154b-434e-b4c7-3155c24abc1b,d2d61f93-1baf-4b12-ba0f-0af01b90abbc,CO,True,2025-01-30T09:20:00Z,ana.lopez,2025-01-31T10:10:00Z,ana.lopez
1dd5159b-32b3-4fc8-a5b9-73031b5adb9f,a5e6497e-1b19-40b7-b6f6-31be04e54855,2025-02-14,https://sico.docs/cartas/PCCP-0002.pdf,2b2a3d4a-3c0b-4c3b-a0c4-1888deda0f9f,a369cfaf-b356-4b3a-9d76-171054e36611,e6dd8f6d-7a5b-4869-aae1-b11efb9b03fc,b28c8896-b0ae-45d9-87ed-db8915408fd9,US,True,2025-02-12T15:45:00Z,maria.zapata,2025-02-14T08:30:00Z,maria.zapata
5c689a7b-55ef-4269-bd43-96ed7b1f70ea,b974798b-e5a8-440d-a978-f7f7a571c835,2025-02-28,https://sico.docs/cartas/PCCP-0003.pdf,eb02d934-88a3-4ca5-a282-a0ab23221113,3f5bf419-777b-4fef-bad4-4dcfe3244ef0,7ee805b3-b683-4bda-a70f-90288d000d12,4097db00-0e0c-4b21-a533-685a222a7790,MX,True,2025-02-26T11:05:00Z,carlos.ortiz,2025-02-28T09:00:00Z,carlos.ortiz
aba6245a-559f-4043-9171-5ca1d49abbc0,83662249-eb9a-4ec5-a749-41c60d06a1e7,2025-03-10,https://sico.docs/cartas/PCCP-0004.pdf,7d5dfefd-9e27-4fea-a41f-913152bb7451,a867213a-7c16-4848-a682-de65c7745f53,6ca9c138-cb8e-4583-960c-0a18ff8733a5,332c5a2b-cb6e-4345-bc97-825a1e7a51cf,BR,True,2025-03-08T13:10:00Z,luisa.mendez,2025-03-10T14:55:00Z,luisa.mendez
940d64ee-65a7-4bbd-b407-8b7918524086,c129d55e-8960-4581-a5a6-f8fabe903eaf,2025-03-24,https://sico.docs/cartas/PCCP-0005.pdf,2615affc-f7bf-4d26-a314-e94cef606965,4dfb8958-26d0-45c8-8752-80e57c0adad6,659cd7fc-2566-4443-9c0f-7494dae1ed14,e36e6605-aafc-4d38-a64d-ddc894b6d11d,AR,True,2025-03-22T10:40:00Z,juan.suarez,2025-03-24T16:20:00Z,maria.zapata
40e538d5-6e49-43c5-8271-8c7649b74027,bfeb1102-b16a-403d-9587-835f8507bb9c,2025-04-07,https://sico.docs/cartas/PCCP-0006.pdf,3b22994c-118c-460e-8cde-1ea1cad2a255,e44e5889-10e7-4a75-b0df-0c9c53605073,c30c6f4c-621a-4974-b48f-4d8a322f4d3c,3be03091-d847-4775-86c9-1914ee61efee,CL,True,2025-04-05T08:15:00Z,maria.zapata,2025-04-07T11:00:00Z,carlos.ortiz
409fcf38-92f9-4a2f-84db-69b42680c73e,d0c913d5-1458-42e3-897a-49d94339d56b,2025-04-20,https://sico.docs/cartas/PCCP-0007.pdf,30a4ab6d-386d-4081-ba4e-bc29e8533955,10de50ce-1e24-410f-bea1-c8908fd0c81d,92db689e-d60a-4798-8733-f1af38cc9ea5,3a4dba6a-90d0-4bab-bab0-898e5e6d73ae,PE,True,2025-04-18T14:25:00Z,ana.lopez,2025-04-20T09:40:00Z,juan.suarez
1abd845e-f03a-4d39-9edc-2d0666ddf6e2,f29b515c-bdf6-42b9-803c-e7cc4859dc91,2025-05-03,https://sico.docs/cartas/PCCP-0008.pdf,ee2e950b-2e9b-46e0-beec-7a9590eb3d04,6eea0fe3-ba8a-42f1-bb2d-50e187c569ec,7a538b28-ef18-459b-999f-ce0985a18a32,29c8c5a4-0e7a-40fe-bb41-5564835aaf7e,ES,True,2025-05-01T12:55:00Z,carlos.ortiz,2025-05-03T10:30:00Z,carlos.ortiz
bf6c6da5-42f4-4eb4-be4d-a178235e1deb,3b44e4ca-8901-46c9-bd86-dad4a50bc41e,2025-05-17,https://sico.docs/cartas/PCCP-0009.pdf,58cf55c3-e7fd-4046-ab62-e14a223e6d69,a81f5ea8-ac4e-4afb-a7eb-98482ee78b7f,c13fef8d-4e53-48b3-bcec-e2037553fc30,44739610-cbea-4a6a-ab81-2ebe00633991,DE,True,2025-05-15T16:05:00Z,luisa.mendez,2025-05-17T13:15:00Z,luisa.mendez
10c7d9e1-47f5-458e-980a-e4d5d0d3a518,675891f2-fe17-48d3-947f-be469c9be20c,2025-05-31,https://sico.docs/cartas/PCCP-0010.pdf,2b2a3d4a-3c0b-4c3b-a0c4-1888deda0f9f,a369cfaf-b356-4b3a-9d76-171054e36611,522d2d98-f510-41a6-b496-02fb99a8984c,e77005a1-411e-429a-b43e-bbeaf3d67e4d,FR,True,2025-05-29T09:50:00Z,juan.suarez,2025-05-31T11:45:00Z,juan.suarez
